,refundAmount,refundPrice,saleAmount,salePrice,serialNum
592,0,0.00,5.00,15.00,6944839905164
593,0,0.00,1.00,3.00,6944839993796
594,0,0.00,1.00,16.30,6919892634108
595,0,0.00,1.00,16.30,6919892634306
596,0,0.00,2.00,66.00,6953042701531
597,0,0.00,7.00,89.60,6927682700018
598,0,0.00,25.00,62.50,6954767410388
599,0,0.00,8.00,56.00,6954767401812
600,0,0.00,1.00,7.00,6954767401874
601,0,0.00,23.00,126.50,6972863230136
602,0,0.00,16.00,94.40,6972863230105
603,0,0.00,28.00,159.60,6972863230259
612,0,0.00,2.00,36.00,8008620080244
613,0,0.00,4.00,79.20,8008620009337
614,0,0.00,2.00,39.60,8008620009320
615,0,0.00,4.00,71.20,653314503493
616,0,0.00,3.00,109.50,5410081201848
617,0,0.00,7.00,125.30,6970631040109
618,0,0.00,16.00,286.40,6970631040123
619,0,0.00,13.00,232.70,6970631040130
620,0,0.00,31.00,1457.00,6916323936039
621,0,0.00,7.00,392.00,6916323937043
622,0,0.00,48.00,264.00,6927797623530
623,0,0.00,16.00,104.00,6927797622304
624,0,0.00,48.00,264.00,6927797622724
625,0,0.00,84.00,462.00,6927797623370
626,0,0.00,5.00,95.00,6933211412246
627,0,0.00,5.00,60.00,6933211432459
628,0,0.00,1.00,24.00,8000380140565
629,0,0.00,1.00,10.80,6907661938854
630,0,0.00,1.00,88.00,6970525359683
631,0,0.00,3.00,414.00,6970525359362
632,0,0.00,2.00,316.00,6970525356309
633,0,0.00,3.00,28.50,6930628801304
634,0,0.00,8.00,84.00,6921804700757
635,0,0.00,5.00,55.00,6921804700184
636,0,0.00,10.00,758.00,6947475900913
637,0,0.00,4.00,576.00,6947475903242
638,0,0.00,26.00,2106.00,6947475902405
639,0,0.00,7.00,45.50,6922621132783
640,0,0.00,27.00,1728.00,6932816000742
641,0,0.00,4.00,80.00,6371251254
650,0,0.00,2.00,39.00,6975048660827
651,0,0.00,6.00,117.00,6975048660810
652,0,0.00,5.00,49.50,8859546600098
653,0,0.00,4.00,39.60,8855044006684
654,0,0.00,2.00,19.80,8855044004628
655,0,0.00,9.00,103.50,6922824000643
656,0,0.00,3.00,31.50,6918678310014
657,0,0.00,6.00,47.40,4893888001575
658,0,0.00,7.00,53.20,6922824055063
659,0,0.00,7.00,69.30,6922824055018
660,0,0.00,9.00,89.10,4893888001360
661,0,0.00,4.00,46.00,6922824001329
662,0,0.00,1.00,12.50,6918678423035
663,0,0.00,3.00,46.50,6941174499617
664,0,0.00,3.00,32.40,6941174497156
665,0,0.00,3.00,32.40,6941174497149
666,0,0.00,18.00,160.20,6975475660254
