,importPrice,serialNum,sumAmount,sumTotal,supplier,unit
428,56.00,6970339116151,9.00,585.00,陕西小大贸易有限公司,提
429,3.00,6970339116373,44.00,176.00,陕西小大贸易有限公司,盒
430,5.80,6970339116588,18.00,124.20,陕西小大贸易有限公司,盒
431,8.50,6970339116915,2.00,21.00,陕西小大贸易有限公司,盒
432,3.50,6970339117097,16.00,72.00,陕西小大贸易有限公司,瓶
433,3.00,6970339117233,30.00,120.00,陕西小大贸易有限公司,瓶
434,11.00,6970339117523,5.00,72.50,陕西小大贸易有限公司,盒
435,11.00,6970339117554,4.00,58.00,陕西小大贸易有限公司,盒
436,5.80,6970339117646,1.00,7.50,陕西小大贸易有限公司,瓶
437,20.00,6970339117677,8.00,208.00,陕西小大贸易有限公司,盒
438,3.70,6970339117844,24.00,105.60,陕西小大贸易有限公司,盒
439,10.50,6970339117998,2.00,25.80,陕西小大贸易有限公司,盒
440,11.20,6970339118186,4.00,55.60,陕西小大贸易有限公司,盒
441,10.00,6970618570001,3.00,37.50,陕西小大贸易有限公司,盒
442,30.50,6970618570056,1.00,38.00,陕西小大贸易有限公司,盒
443,7.50,6970618570070,20.00,190.00,陕西小大贸易有限公司,盒
444,9.50,6970618570209,3.00,35.40,陕西小大贸易有限公司,盒
445,9.30,6970618570384,5.00,54.00,陕西小大贸易有限公司,盒
446,22.00,6970618570414,5.00,150.00,陕西小大贸易有限公司,盒
447,7.50,6970618570599,20.00,190.00,陕西小大贸易有限公司,盒
448,5.50,6927797622304,2.00,13.00,陕西小大贸易有限公司,盒
449,4.00,6927797622700,24.00,132.00,陕西小大贸易有限公司,盒
450,4.00,6927797622724,30.00,165.00,陕西小大贸易有限公司,盒
451,4.00,6927797623370,42.00,231.00,陕西小大贸易有限公司,盒
452,4.00,6927797623530,48.00,264.00,陕西小大贸易有限公司,盒
454,16.50,6970339116557,6.00,117.00,陕西小大贸易有限公司,盒
455,52.00,6923644232658,9.00,585.00,陕西小大贸易有限公司,提
456,50.00,6923644266318,18.00,"1,062.00",陕西小大贸易有限公司,提
457,60.50,6923644295844,2.00,152.00,陕西小大贸易有限公司,提
458,58.00,6923644297251,7.00,476.00,陕西小大贸易有限公司,提
459,55.00,6923644299804,2.00,136.00,陕西小大贸易有限公司,提
462,0.44,3,175.00,87.50,新城区西华陶瓷厨具经营部,条
465,4.30,6902538004045,1.00,5.20,西安海和景商贸有限公司,瓶
466,4.30,6902538004052,1.00,5.20,西安海和景商贸有限公司,瓶
467,7.00,8855044004628,2.00,19.80,西安海和景商贸有限公司,瓶
468,4.30,6902538005141,2.00,10.40,西安海和景商贸有限公司,瓶
469,7.00,8855044006684,1.00,9.90,西安海和景商贸有限公司,瓶
470,5.00,6917878030623,2.00,13.00,西安海和景商贸有限公司,瓶
471,11.50,6943851102674,1.00,14.50,西安海和景商贸有限公司,瓶
472,11.50,6943851102780,2.00,29.00,西安海和景商贸有限公司,瓶
473,13.50,6973497200045,5.00,84.00,西安海和景商贸有限公司,瓶
474,13.50,6973497200052,7.00,117.60,西安海和景商贸有限公司,瓶
475,4.60,6973497200205,4.00,24.00,西安海和景商贸有限公司,瓶
476,5.00,6973497200304,20.00,130.00,西安海和景商贸有限公司,瓶
477,4.60,6973497202346,3.00,17.40,西安海和景商贸有限公司,瓶
478,4.60,6973497202360,20.00,116.00,西安海和景商贸有限公司,瓶
479,4.60,6973497202940,9.00,52.20,西安海和景商贸有限公司,瓶
480,12.80,6923555210462,3.00,44.70,西安海和景商贸有限公司,盒
481,12.80,6923555210479,2.00,29.80,西安海和景商贸有限公司,盒
482,12.80,6923555212749,3.00,44.70,西安海和景商贸有限公司,盒
483,4.80,6974878230101,17.00,98.60,西安海和景商贸有限公司,瓶
484,4.80,6972863230105,21.00,123.90,西安海和景商贸有限公司,瓶
