,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
846,4,0,4.0,6928710601215,4
847,20,0,20.0,6928710601222,20
848,37,0,37.0,6928710601284,37
849,32,0,32.0,6928710601352,32
850,6,0,6.0,6928710601406,6
851,161,0,161.0,6928710601437,161
852,274,0,274.0,6928710601512,274
853,7,0,7.0,6914973601567,7
854,170,0,170.0,6928710601611,170
855,422,0,422.0,6928710601703,422
856,7,0,7.0,6928710601734,7
857,457,0,457.0,6928710601741,457
858,198,0,198.0,6928710601758,198
859,15,0,15.0,6928710601765,15
860,4,0,4.0,6928710601772,4
861,635,0,635.0,6928710601925,635
862,4,0,4.0,6928710602052,4
863,101,0,101.0,6928710602151,101
864,223,0,223.0,6928710602212,223
865,545,0,545.0,6928710602304,545
866,14,0,14.0,6948939602381,14
867,40,0,40.0,6948939602572,40
868,16,0,16.0,9300639602967,16
877,135,0,135.0,6954808603281,135
878,13,0,13.0,6914973604230,13
879,23,0,23.0,6914973604278,23
880,21,0,21.0,6928710605138,21
881,21,0,21.0,6928710605176,21
882,5,0,5.0,6925785605773,5
883,6,0,6.0,6925785605797,6
884,6,0,6.0,6925785605902,6
885,254,0,254.0,6947773606388,254
886,227,0,227.0,6947773606395,227
887,21,0,21.0,6925785606404,21
888,2,0,2.0,6925785606442,2
889,100,0,100.0,6954808607234,100
890,44,0,44.0,6948939608208,44
891,24,0,24.0,6922848608870,24
892,18,0,18.0,6922848608894,18
893,36,0,36.0,6928710609075,36
894,21,0,21.0,6928710609082,21
895,20,0,20.0,6928710609174,20
896,91,0,91.0,6928710609204,91
897,74,0,74.0,6928710609211,74
898,155,0,155.0,6928710609228,155
899,128,0,128.0,6928710609235,128
900,217,0,217.0,6928710609518,217
901,46,0,46.0,6928710609525,46
902,123,0,123.0,6928710609532,123
903,161,0,161.0,6928710609549,161
904,14,0,14.0,6928710609556,14
905,71,0,71.0,6928710609563,71
906,358,0,358.0,6928710609570,358
915,78,0,78.0,6928710609594,78
916,1,0,1.0,6928710609761,1
917,1,0,1.0,6939044610002,1
918,27,0,27.0,6924773610010,27
919,392,0,392.0,6954808610302,392
920,330,0,330.0,6954808610319,330
921,60,0,60.0,6954808611095,60
922,60,0,60.0,6954808611118,60
923,60,0,60.0,6954808611156,60
924,22,0,22.0,6923250611267,22
925,17,0,17.0,6923250611281,17
926,10,0,10.0,8851994612012,10
927,241,0,241.0,6954808612139,241
928,61,0,61.0,6954808612146,61
929,155,0,155.0,6954808612351,155
930,65,0,65.0,6954808613334,65
931,1,0,1.0,6920771613763,1
932,13,0,13.0,6920771613787,13
933,6,0,6.0,6916168616554,6
934,23,0,23.0,6947929617169,23
935,29,0,29.0,6947929617176,29
936,7,0,7.0,6947929617183,7
937,1,0,1.0,6916168617322,1
938,19,0,19.0,6920771617785,19
939,15,0,15.0,6920771617792,15
940,24,0,24.0,6927797622724,24
941,30,0,30.0,6927797623530,30
942,16,0,16.0,6919892634108,16
943,29,0,29.0,6919892634306,29
944,8,0,8.0,6919892634603,8
953,20,0,20.0,4897044643081,20
954,1,0,1.0,4897044644293,1
955,4,0,4.0,4897044644392,4
956,17,0,17.0,4897044644613,17
957,8,0,8.0,6921956645593,8
958,12,0,12.0,6975086650019,12
959,10,0,10.0,6975086650026,10
960,8,0,8.0,6975086650033,8
961,18,0,18.0,6975086650040,18
962,11,0,11.0,6975086650057,11
963,16,0,16.0,6975086650064,16
964,34,0,34.0,6975086650071,34
965,14,0,14.0,6975086650095,14
966,10,0,10.0,6975086650293,10
967,8,0,8.0,6975086650309,8
968,18,0,18.0,6975086650316,18
969,11,0,11.0,6975086650323,11
970,16,0,16.0,6922133651086,16
971,10,0,10.0,6971738655395,10
972,23,0,23.0,6923450656150,23
973,5,0,5.0,6923450656181,5
