,countingAmount,diffAmount,diffPrice,serialNum,stockAmount
1317,0,0,0.0,6923420030201,0
1318,0,0,0.0,6947689109102,0
1319,0,0,0.0,6947689109188,0
1320,0,0,0.0,6949884200271,0
1321,0,0,0.0,6908791200873,0
1322,0,0,0.0,4891913367269,0
1323,0,0,0.0,4891913367283,0
1324,0,0,0.0,4891913367290,0
1325,0,0,0.0,4891913367320,0
1326,0,0,0.0,367344,0
1327,0,0,0.0,367405,0
1328,0,0,0.0,6922147480191,0
1329,0,0,0.0,6947689109263,0
1330,0,0,0.0,6946964600174,0
1331,0,0,0.0,6921665700132,0
1332,0,0,0.0,6921665700149,0
1333,0,0,0.0,6921665701054,0
1334,0,0,0.0,6921665714993,0
1335,0,0,0.0,6921665730825,0
1336,0,0,0.0,6972389770048,0
1337,0,0,0.0,6958196800062,0
1338,0,0,0.0,6933190800157,0
1339,0,0,0.0,6901513889677,0
1340,0,0,0.0,6901513901157,0
1341,0,0,0.0,6901513901164,0
1352,0,0,0.0,6970820082187,0
1353,0,0,0.0,082375,0
1354,0,0,0.0,100019,0
1355,0,0,0.0,6930287100022,0
1356,0,0,0.0,109968,0
1357,0,0,0.0,6971481110011,0
1358,0,0,0.0,6972251252207,0
1359,0,0,0.0,252245,0
1360,0,0,0.0,400847,0
1361,0,0,0.0,6939565421118,0
1362,0,0,0.0,6941121436757,0
1363,0,0,0.0,6971543451106,0
1364,0,0,0.0,6970138490360,0
1365,0,0,0.0,490377,0
1366,0,0,0.0,490384,0
1367,0,0,0.0,490407,0
1368,0,0,0.0,490476,0
1369,0,0,0.0,6970187528014,0
1370,0,0,0.0,6924640723676,0
1371,0,0,0.0,730133,0
1372,0,0,0.0,6971490781110,0
1373,0,0,0.0,6971490786665,0
1374,0,0,0.0,6958196800246,0
1375,0,0,0.0,6958196800284,0
1376,0,0,0.0,900109,0
1377,0,0,0.0,920742,0
1499,0,0,0.0,6933190900024,0
1500,0,0,0.0,6933190900031,0
1501,0,0,0.0,6933190900048,0
1502,0,0,0.0,6933190900062,0
1503,0,0,0.0,6933190900086,0
1504,0,0,0.0,6933190900116,0
1505,0,0,0.0,6933190900147,0
1506,0,0,0.0,6933190900185,0
1507,0,0,0.0,6933190900208,0
1684,0,0,0.0,6925659202510,0
1685,0,0,0.0,6925659202527,0
1686,0,0,0.0,6925659202534,0
1687,0,0,0.0,6925659202541,0
1688,0,0,0.0,6925659202558,0
1689,0,0,0.0,6946785821413,0
1691,0,0,0.0,6954747300050,0
1693,0,0,0.0,6927943000017,0
1694,0,0,0.0,6907592000019,0
1695,0,0,0.0,6933282000212,0
1696,0,0,0.0,6927943000260,0
1697,0,0,0.0,6920233000278,0
1698,0,0,0.0,6918020000280,0
1699,0,0,0.0,6927943000284,0
1700,0,0,0.0,6920233000285,0
1701,0,0,0.0,6918020000303,0
1702,0,0,0.0,6920233000315,0
1703,0,0,0.0,6927943000321,0
1704,0,0,0.0,6920233000322,0
1705,0,0,0.0,6920233000339,0
1706,0,0,0.0,6918020000600,0
1707,0,0,0.0,6925736000633,0
1708,0,0,0.0,6925736000695,0
1709,0,0,0.0,6918020000716,0
1710,0,0,0.0,6918020000778,0
1711,0,0,0.0,6925736001029,0
1712,0,0,0.0,6907592001092,0
1713,0,0,0.0,6907592001184,0
1714,0,0,0.0,6907592001269,0
1715,0,0,0.0,6907592001375,0
1716,0,0,0.0,6907592001382,0
1717,0,0,0.0,6907592001436,0
1718,0,0,0.0,6944341001446,0
1719,0,0,0.0,6922824001725,0
1720,0,0,0.0,6922824001749,0
1721,0,0,0.0,6922824001756,0
1722,0,0,0.0,6907592002006,0
1723,0,0,0.0,6907592002082,0
1724,0,0,0.0,6920233002098,0
1725,0,0,0.0,6920233002104,0
1726,0,0,0.0,6920233002111,0
1727,0,0,0.0,6920233002128,0
1728,0,0,0.0,6920233002135,0
1729,0,0,0.0,6920233002142,0
1730,0,0,0.0,4893888002312,0
1731,0,0,0.0,6907592002624,0
1732,0,0,0.0,6920233003071,0
1733,0,0,0.0,6920233003088,0
1734,0,0,0.0,6920233003095,0
1735,0,0,0.0,6922824003163,0
1736,0,0,0.0,6920233003422,0
1737,0,0,0.0,6920233004061,0
1738,0,0,0.0,6906303004186,0
1739,0,0,0.0,6906303004254,0
1740,0,0,0.0,6920233004337,0
1741,0,0,0.0,6906303004551,0
1742,0,0,0.0,6920233004689,0
1743,0,0,0.0,6920233004696,0
1744,0,0,0.0,6920233004818,0
1745,0,0,0.0,6920233005921,0
1746,0,0,0.0,6920233005952,0
1747,0,0,0.0,6920233005969,0
1748,0,0,0.0,6920233005976,0
1749,0,0,0.0,6920233005983,0
1750,0,0,0.0,6920233005990,0
1751,0,0,0.0,6907592007223,0
1752,0,0,0.0,6902007010010,0
1753,0,0,0.0,6970302020096,0
1754,0,0,0.0,6970302020300,0
1755,0,0,0.0,6970302020560,0
1756,0,0,0.0,6970302020577,0
1757,0,0,0.0,6920233026650,0
1758,0,0,0.0,6920233026711,0
1759,0,0,0.0,6920233026735,0
1760,0,0,0.0,6971239060735,0
1761,0,0,0.0,6971239060773,0
1762,0,0,0.0,6901754071176,0
1763,0,0,0.0,6902265100263,0
1764,0,0,0.0,6924968100371,0
1765,0,0,0.0,6931627102188,0
1766,0,0,0.0,6902265107026,0
1767,0,0,0.0,6902131110099,0
1768,0,0,0.0,6931649110284,0
1769,0,0,0.0,6931649110376,0
1770,0,0,0.0,6931649110598,0
1771,0,0,0.0,6902265111436,0
1772,0,0,0.0,6902265111443,0
1773,0,0,0.0,6931649112028,0
1774,0,0,0.0,6902265114642,0
1775,0,0,0.0,6902131140034,0
1776,0,0,0.0,6901754141008,0
1777,0,0,0.0,6970622160021,0
1778,0,0,0.0,6970622160052,0
1779,0,0,0.0,6970622160106,0
1780,0,0,0.0,6970622160113,0
1781,0,0,0.0,6970622160342,0
1782,0,0,0.0,6970622160380,0
1783,0,0,0.0,6970622160441,0
1784,0,0,0.0,6930693165783,0
1785,0,0,0.0,6903290190502,0
1786,0,0,0.0,6930777200089,0
1787,0,0,0.0,6925179200089,0
1788,0,0,0.0,6930777200102,0
1789,0,0,0.0,6902265200116,0
1790,0,0,0.0,6930777200195,0
1791,0,0,0.0,6930777200379,0
1792,0,0,0.0,6923063300020,0
1793,0,0,0.0,6923063300044,0
1794,0,0,0.0,6909689300088,0
1795,0,0,0.0,6946288300736,0
1796,0,0,0.0,6902265301219,0
1797,0,0,0.0,6923063302109,0
1798,0,0,0.0,6946576310034,0
1799,0,0,0.0,6946576310041,0
1800,0,0,0.0,6902265310754,0
1801,0,0,0.0,6910160312513,0
1802,0,0,0.0,6910160312537,0
1803,0,0,0.0,6910160312575,0
1804,0,0,0.0,6947174320029,0
1805,0,0,0.0,6947174320036,0
1806,0,0,0.0,6947174330004,0
1807,0,0,0.0,6948505400236,0
1808,0,0,0.0,6921929400655,0
1809,0,0,0.0,6917336403303,0
1810,0,0,0.0,6902265410270,0
1811,0,0,0.0,6948839422478,0
1812,0,0,0.0,6948839422515,0
1813,0,0,0.0,6948839422522,0
