,amount,categoryName,cost,currPrice,productName,serialNum
313,174.0,调料类,1.5,1.9,安琪酵母15g,6917790975323
314,65.0,调料类,3.8,5.5,王守义精姜粉50g,6906303004605
315,4.0,调料类,8.8,10.8,好运多香菇牛肉酱218g,6947769901008
316,10.0,调料类,5.3,6.3,家乐浓汤宝猪骨64g,6922848608870
317,3.0,调料类,3.5,4.5,乌江脆口榨菜120g,6901754040936
318,3.0,调料类,6.5,9.5,紫林金牌陈醋3年500ml,6922165900787
319,9.0,调料类,8.0,10.9,紫林金牌老陈醋5年500ml,6922165900770
320,12.0,调料类,9.0,11.6,好运多夹馍酱辣280g,6947769900766
321,12.0,调料类,10.0,12.5,李锦记精选老抽500ml,6922824075016
322,1.0,调料类,6.5,8.5,王守义八角55g,6906303002441
323,10.0,调料类,11.5,13.0,海底捞番茄底料200g,6942032700050
324,20.0,调料类,11.0,16.5,王守义十三香花椒55g,6906303002434
325,31.0,调料类,9.0,11.5,老干妈豆豉油辣椒280g,6921804700757
326,1.0,调料类,5.0,7.0,莲花味精250g,6901377002502
327,5.0,调料类,9.0,11.5,李锦记薄盐生抽500ml,6922824000643
328,5.0,调料类,6.0,7.6,李锦记锦珍生抽500ml,6922824055063
329,37.0,调料类,3.0,4.0,王守义卤料24g,6906303004643
330,9.0,调料类,9.0,11.5,李锦记特级味极鲜500ml,6922824001329
331,77.0,调料类,5.0,6.5,王守义白胡椒粉25g,6906303004612
332,23.0,调料类,12.7,15.9,海底捞清油麻辣火锅底料220g,6942032700029
333,34.0,调料类,5.3,6.3,家乐浓汤宝老母鸡64g,6922848608894
334,4.0,调料类,13.0,16.5,太太乐鲜鸡汁238g,6922130118483
335,57.0,调料类,6.5,8.5,喜神醪糟500g,6928454900087
336,82.0,调料类,3.3,4.5,王守义炖肉24g,6906303004469
345,9.0,调料类,10.5,12.5,蜀兴郫县豆瓣酱1kg,6939044610002
346,18.0,调料类,6.5,8.8,桥头大盘鸡调料150g,6936072100154
347,2.0,调料类,7.5,9.5,桥头酸菜鱼160g,6936072100369
348,9.0,调料类,24.0,34.9,桥头老火锅500g,6936072100871
349,34.0,调料类,5.8,7.0,桥头粉蒸肉料香辣220g,6936072100468
350,31.0,调料类,8.8,10.5,太太乐鸡精200g,6922130101485
353,35.0,鸡蛋,22.8,27.0,20枚B2盒装白壳鸡蛋,6933276212058
354,37.0,鸡蛋,21.0,25.0,20枚B2盒装褐壳鸡蛋,6933276212119
357,13.0,乳制品类,2.0,2.5,草滩金牛经典杯酸奶140g,6975915740065
358,1.0,乳制品类,8.0,10.0,草滩金牛桂花酿酸奶250g,6975915740058
359,3.0,乳制品类,8.0,10.0,草滩金牛青柠酸奶250g,6975915740034
360,18.0,乳制品类,13.4,16.7,草滩金牛纯牛奶粉200g,6975915740010
363,7.0,鸡蛋,21.8,25.8,秦巴山土鸡蛋15枚,6957335213015
364,4.0,鸡蛋,29.5,35.9,秦巴山土鸡蛋20枚,6943036808032
365,3.0,鸡蛋,67.0,79.0,秦巴山土鸡蛋36枚,6943036812046
366,2.0,鸡蛋,19.0,23.8,秦巴山五香变蛋6枚,6957335207168
368,2.0,零食类,89.0,108.0,江中猴菇酥性饼干720g,6954434300851
369,1.0,零食类,12.5,13.8,康师傅5连滕椒,6921774297066
370,12.0,零食类,4.0,4.4,康师傅滕椒面桶装,6921774297028
371,13.0,零食类,8.0,9.9,星巴克焦香玛奇朵228ml,6970870270671
372,105.0,零食类,9.5,11.5,星巴克拿铁咖啡270ml,6970870270947
373,40.0,零食类,9.5,11.5,星巴克芝士奶香拿铁270ml,6970870270961
374,40.0,零食类,12.5,13.8,康师傅5连包香辣牛肉,6921774271547
383,61.0,零食类,12.5,13.8,康师傅5连包鲜虾面,6921774271561
384,18.0,零食类,4.0,4.4,康师傅油泼辣子酸汤桶装,6921774241540
385,40.0,零食类,14.5,17.6,星巴克星冰乐焦糖281ml,6970870270213
386,31.0,零食类,14.0,16.3,康师傅苏打夹心奶油三联375g,6919892634108
387,21.0,零食类,12.5,13.8,康师傅5连包麻辣牛肉,6921774286305
388,13.0,零食类,4.0,4.4,康师傅萝卜牛腩桶装,6937962134389
389,40.0,零食类,23.2,28.5,鲜芬玫瑰饮料1L,3800014288381
390,42.0,零食类,14.5,17.6,星巴克星冰乐原味281ml,6970870270015
391,24.0,零食类,14.5,17.6,星巴克星冰乐摩卡281ml,6970870270084
392,26.0,零食类,14.5,17.6,星巴克星冰乐香草281ml,6970870270152
393,33.0,零食类,3.7,4.3,华丰油泼辣子碗装,6901715292541
394,74.0,零食类,8.5,9.3,华丰三鲜5连包,6901715291247
395,46.0,零食类,8.0,9.9,星巴克黑醇摩卡228ml,6970870270640
396,34.0,零食类,4.0,4.4,康师傅香菇牛肉桶装,6921774242714
397,72.0,零食类,12.2,14.0,华丰油泼辣子5连包,6901715292527
398,40.0,零食类,8.0,9.9,星巴克经典浓郁228ml,6970870270657
399,57.0,零食类,8.0,9.9,星巴克经典美式228ml,6970870270664
400,40.0,零食类,4.0,4.4,康师傅香辣牛肉碗装,6921774214179
401,20.0,零食类,4.0,4.4,康师傅老坛酸菜碗装,6921774214070
402,24.0,零食类,12.5,13.8,康师傅5连包香菇炖鸡,6921774271622
403,40.0,零食类,13.5,16.0,康师傅妙芙香芋蛋糕192g,6920731703305
404,20.0,零食类,15.8,19.5,思朗纤麸黑芝麻饼570g,6923250611267
405,6.0,零食类,14.0,16.3,康师傅果香蓝莓三联375g,6919892634603
406,5.0,零食类,4.0,4.4,康师傅金汤肥牛桶装,6937962130121
407,26.0,零食类,15.8,19.5,思郎无糖消化饼570g,6923250611281
408,12.0,零食类,15.8,19.5,思朗纤麸花生饼干570g,6923250642193
409,66.0,零食类,12.5,13.8,康师傅5连包红烧,6921774200639
410,11.0,零食类,30.0,38.0,精品冻干即溶咖啡粉,6931051900893
411,12.0,零食类,13.5,16.0,康师傅妙芙巧克力蛋糕192g,6920731700205
412,40.0,零食类,11.9,14.9,星巴克派克黑咖啡270ml1,6970870272231
421,11.0,零食类,13.5,16.0,康师傅妙芙奶油蛋糕192g,6920731700106
422,48.0,零食类,4.0,4.4,康师傅红烧碗装,6921774200776
424,80.0,乳制品类,8.0,9.9,咖啡大师燕麦奶250ml,6974613130055
425,60.0,乳制品类,8.0,9.9,原味低脂燕麦奶250ml,6974613130079
426,56.0,乳制品类,8.0,9.9,原味醇香燕麦奶250ml.,6974613130062
427,21.0,乳制品类,46.0,55.0,巧克力燕麦奶6连包,6974613130376
428,107.0,乳制品类,8.0,9.9,巧克力味燕麦奶250ml,6974613130086
429,22.0,乳制品类,46.0,55.0,原味低脂燕麦奶6连包,6974613130345
430,16.0,乳制品类,46.0,55.0,咖啡大师燕麦奶6连包,6974613130383
431,25.0,乳制品类,46.0,55.0,原味醇香燕麦奶6连包,6974613130314
432,62.0,乳制品类,24.5,28.5,咖啡大师燕麦奶1升,6974613130109
433,1.0,乳制品类,54.0,68.0,纽仕兰4.0g低脂牛奶250ml*10,9421029081930
436,26.0,零食,17.0,27.0,瑞特滋尼加拉瓜浓醇黑巧克力100g,4000417932006
438,2.0,饮料,36.0,50.0,虎标黑苦荞茶196g,4897031350015
441,30.0,冻货类,15.0,18.8,精选培根200g,6949884200547
442,16.0,冻货类,32.0,39.0,张力生拇指芥菜猪肉生煎690g,6940747410912
443,7.0,冻货类,43.0,49.8,蓝雪巴沙鱼柳680g,6970525359997
444,2.0,冻货类,54.0,69.5,万顺老母鸡1.45kg,6943890900408
445,1.0,冻货类,31.5,39.0,草小鸡鸡腿1kg,6943890900477
446,52.0,冻货类,25.5,29.9,九生堂涮涮蟹味棒9个,6970010925010
447,2.0,冻货类,15.0,19.0,张力生豆沙春卷240g,6940747415115
448,19.0,冻货类,32.0,39.0,张力生拇指生煎690g,6940747410813
449,171.0,冻货类,33.0,42.6,恒都板腱牛肉片200g,6954808610302
450,53.0,冻货类,33.0,42.6,恒都上脑牛肉片200g,6954808610319
459,1.0,冻货类,26.0,31.9,鲜美来虾滑200g.,6950327000518
460,6.0,冻货类,22.5,29.5,闪味水果芝士乳酪饼240g,6970599913842
461,25.0,冻货类,87.0,99.0,黄金鲍500g,6974622051433
462,34.0,冻货类,16.8,19.9,深海日记巴沙鱼200g,6959540361567
463,5.0,冻货类,135.0,158.0,蓝雪青虾仁1kg,6970525356309
464,7.0,冻货类,42.8,49.9,深海日记三文鱼扒200g,6959540361321
465,3.0,冻货类,230.0,258.0,红爪大对虾450g,6974622050009
466,2.0,冻货类,60.0,69.8,蓝雪三文鱼柳中段250g,6970525358211
467,5.0,冻货类,120.0,138.0,蓝雪阿根廷红虾生凤尾500g,6970525359362
468,12.0,冻货类,99.0,129.0,绿环真空大虾仁700g,6975471520019
469,419.0,冻货类,44.0,53.0,柳伍麻辣小龙虾700g,6975235721362
470,21.0,冻货类,41.5,48.0,舟山带鱼1kg,0101020211012
471,245.0,冻货类,14.0,17.5,大用金甲鸡柳400g,6973669041100
472,9.0,冻货类,62.0,75.8,皇上皇广式腊肉400g,6972251252467
473,9.0,冻货类,22.5,28.5,麦子妈辣子鸡310g,6971680630969
474,11.0,冻货类,130.0,160.0,国产青虾1.4kg1,6974739650178
475,36.0,冻货类,14.0,17.5,大用狮子头380g,6924750000995
476,4.0,冻货类,38.0,47.5,恒都原切牛腩块500g,6954808612351
477,18.0,冻货类,35.0,43.0,皇上皇中华老字号400g,6972251252856
478,2.0,冻货类,33.0,42.6,恒都涮烤牛肉片280g,6954808612139
479,1.0,冻货类,78.0,95.5,皇上皇五花腊肉500g,6972251252436
480,4.0,冻货类,32.0,39.0,皇上皇佳福腊肠300g,6972251252245
481,26.0,冻货类,103.0,118.0,深海日记南极银鳕鱼块150g,6959540368115
483,54.0,副食类,16.0,19.8,桂柳螺狮粉400g,6970228680121
484,14.0,副食类,35.0,43.2,西澳莓果燕麦脆450g,6905014301287
