,cost,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
830,22.30,0,0.00,13.00,25.80,335.40,6957335216016
831,23.00,0,0.00,3.00,26.80,80.40,6957335216023
840,29.50,0,0.00,7.00,35.90,251.30,6943036808032
841,67.00,0,0.00,1.00,79.00,79.00,6943036812046
842,19.00,0,0.00,2.00,23.80,47.60,6957335207168
843,13.40,0,0.00,3.00,16.00,48.00,6936700600599
844,13.40,0,0.00,6.00,16.00,96.00,6936700600353
845,13.40,0,0.00,15.00,16.00,240.00,6936700600247
846,13.40,0,0.00,14.00,16.00,224.00,6936700600391
847,9.00,0,0.00,1.00,12.00,12.00,6910160312377
848,4.30,0,0.00,18.00,4.80,86.40,6920180209601
849,20.10,0,0.00,5.00,25.80,129.00,2010317194674
850,13.50,0,0.00,34.00,16.00,544.00,1008861919350056
851,5.00,0,0.00,45.00,6.50,292.50,6917878054766
852,40.00,0,0.00,26.00,49.90,1297.40,6970037312640
853,63.00,0,0.00,10.00,78.00,780.00,6970037311421
854,63.00,0,0.00,7.00,78.00,546.00,6970037311247
855,39.00,0,0.00,9.00,49.00,441.00,6970037313272
856,4.80,0,0.00,23.00,5.90,135.70,4904910060320
857,4.80,0,0.00,13.00,5.90,76.70,4904910060344
858,16.50,0,0.00,13.00,19.90,258.70,1008861919353064
859,13.50,0,0.00,1.00,16.30,16.30,1008861919350613
860,8.00,0,0.00,2.00,11.50,23.00,4716076571691
861,8.80,0,0.00,6.00,10.00,60.00,6371251249
862,8.00,0,0.00,11.00,9.80,107.80,1008861919353323
863,13.00,0,0.00,6.00,16.50,99.00,1008862021070008
864,12.00,0,0.00,24.00,14.70,352.80,1008861919350616
865,24.50,0,0.00,3.00,30.00,90.00,6974856040098
866,24.50,0,0.00,2.00,30.00,60.00,6974856040081
867,11.26,0,0.00,3.00,12.80,38.40,6371251237
868,13.50,0,0.00,2.00,17.50,35.00,7614500010310
869,13.50,0,0.00,1.00,17.50,17.50,7614500010617
878,15.50,0,0.00,3.00,22.00,66.00,4000417703002
879,17.00,0,0.00,4.00,27.00,108.00,4000417938008
880,17.00,0,0.00,3.00,27.00,81.00,4000417933003
881,17.00,0,0.00,1.00,27.00,27.00,4000417932006
882,14.50,0,0.00,4.00,22.00,88.00,4000417022004
883,18.00,0,0.00,7.00,23.80,166.60,4897038890972
884,18.00,0,0.00,8.00,23.80,190.40,4897038890965
885,15.50,0,0.00,12.00,19.50,234.00,4897038894598
886,15.50,0,0.00,3.00,19.50,58.50,4897038894604
887,14.00,0,0.00,11.00,17.80,195.80,4897038892310
888,12.00,0,0.00,3.00,15.00,45.00,4897038892365
889,12.00,0,0.00,3.00,15.00,45.00,4897038892372
890,4.20,0,0.00,14.00,5.00,70.00,6972549660929
891,4.10,0,0.00,58.00,4.80,278.40,6972549661254
892,4.20,0,0.00,38.00,5.00,190.00,6972549660677
893,4.20,0,0.00,59.00,5.00,295.00,6972549660905
894,7.74,0,0.00,9.00,8.80,79.20,6371251250
895,21.50,0,0.00,11.00,33.00,363.00,6925723000028
896,12.00,0,0.00,6.00,16.00,96.00,6925723000080
897,38.00,0,0.00,1.00,48.00,48.00,6951047862059
898,7.00,0,0.00,1.00,9.50,9.50,6975086650316
899,37.00,0,0.00,2.00,48.00,96.00,6975086650064
900,13.50,0,0.00,2.00,18.20,36.40,6975086650323
901,6.80,0,0.00,2.00,8.80,17.60,6972914150765
902,6.80,0,0.00,3.00,8.80,26.40,6972914150772
903,6.80,0,0.00,4.00,8.80,35.20,6972914150789
904,7.50,0,0.00,1.00,10.00,10.00,6972914150321
905,7.50,0,0.00,4.00,10.00,40.00,6972914150314
906,7.50,0,0.00,1.00,10.00,10.00,6972914150352
907,14.80,0,0.00,14.00,18.50,259.00,6935498309561
916,14.50,0,0.00,18.00,18.50,333.00,6971657870893
917,14.50,0,0.00,2.00,18.50,37.00,6971657870343
918,52.00,0,0.00,2.00,59.90,119.80,6959540361406
919,26.00,0,0.00,1.00,29.90,29.90,6959540362274
920,42.80,0,0.00,2.00,49.90,99.80,6959540361321
921,34.00,0,0.00,3.00,48.00,144.00,8002650002177
922,6.00,0,0.00,30.00,8.30,249.00,041508800075
923,38.50,0,0.00,8.00,47.00,376.00,6916323943525
924,75.00,0,0.00,3.00,93.00,279.00,6916323942313
925,5.40,0,0.00,8.00,6.90,55.20,6956405213610
926,6.50,0,0.00,20.00,8.30,166.00,6971426300491
927,6.50,0,0.00,7.00,8.30,58.10,6971426300477
928,5.50,0,0.00,2.00,7.60,15.20,6974919371374
929,6.00,0,0.00,5.00,7.80,39.00,6974919371367
930,24.00,0,0.00,1.00,34.50,34.50,4712883839818
931,24.00,0,0.00,5.00,34.50,172.50,4712883839832
932,24.00,0,0.00,2.00,34.50,69.00,4712883839825
933,2.40,0,0.00,46.00,3.00,138.00,6970783730132
934,2.40,0,0.00,30.00,3.00,90.00,6970783730019
935,8.50,0,0.00,3.00,10.80,32.40,6939044610002
936,15.84,0,0.00,5.00,18.00,90.00,6371251260
937,9.80,0,0.00,2.00,14.00,28.00,1008862021070012
938,15.80,0,0.00,2.00,19.50,39.00,6923250611281
939,15.80,0,0.00,1.00,19.50,19.50,6923250611267
940,9.00,0,0.00,5.00,11.80,59.00,6921665714436
941,10.00,0,0.00,11.00,12.80,140.80,6921665732577
942,10.00,0,0.00,3.00,12.80,38.40,6921665700194
943,9.00,0,0.00,8.00,11.80,94.40,6921665714429
944,19.00,0,0.00,1.00,24.00,24.00,6932583203438
945,19.00,0,0.00,5.00,24.00,120.00,6932583206590
954,35.00,0,0.00,20.00,43.50,870.00,6974036910050
956,10.80,0,0.00,3.00,13.90,41.70,4897076061167
957,10.80,0,0.00,4.00,13.90,55.60,4897076061181
958,8.50,0,0.00,20.00,9.50,190.00,6922130101485
959,13.00,0,0.00,10.00,16.50,165.00,6922130118483
960,5.20,0,0.00,22.00,6.70,147.40,6901306180738
961,5.20,0,0.00,12.00,6.70,80.40,6901306180707
962,4.30,0,0.00,30.00,5.80,174.00,8851994612012
963,15.84,0,0.00,5.00,18.00,90.00,6371251257
964,5.50,0,0.00,1.00,6.80,6.80,6972559820108
965,43.00,0,0.00,2.00,65.00,130.00,8002650000906
966,75.00,0,0.00,1.00,119.00,119.00,8002650000807
967,58.00,0,0.00,10.00,67.00,670.00,0101020211011
968,26.00,0,0.00,6.00,30.00,180.00,0101020211013
969,50.00,0,0.00,85.00,59.00,5015.00,6923644266318
970,65.00,0,0.00,13.00,78.00,1014.00,6923644295844
971,9.50,0,0.00,1.00,12.00,12.00,9555118659523
972,9.50,0,0.00,9.00,12.00,108.00,9555118659530
973,19.50,0,0.00,12.00,24.00,288.00,1008861919353231
974,2.20,0,0.00,10.00,2.80,28.00,6944296500049
975,3.50,0,0.00,10.00,4.30,43.00,6925303730574
976,5.00,0,0.00,82.00,6.30,516.60,6970399927247
977,32.00,0,0.00,4.00,39.90,159.60,4891913367344
978,27.00,0,0.00,2.00,33.90,67.80,4891913750351
979,30.00,0,0.00,1.00,37.90,37.90,4891913367238
980,38.00,0,0.00,4.00,48.60,194.40,6943890900422
981,42.00,0,0.00,4.00,54.00,216.00,6943890900415
982,3.20,0,0.00,2.00,4.00,8.00,6956367338680
983,4.50,0,0.00,27.00,5.50,148.50,6906303004612
992,3.00,-1,-4.00,5.00,4.00,20.00,6906303004469
993,3.80,0,0.00,10.00,5.50,55.00,6906303004476
994,3.00,0,0.00,4.00,3.90,15.60,6906303888908
995,3.00,0,0.00,6.00,4.00,24.00,6906303004643
996,2.80,0,0.00,28.00,3.90,109.20,6906303888885
997,11.00,0,0.00,6.00,16.50,99.00,6906303002434
998,14.00,0,0.00,13.00,17.90,232.70,6972636670244
999,14.00,0,0.00,22.00,17.90,393.80,6972636670237
1000,14.00,0,0.00,29.00,17.90,519.10,6972636670213
1001,6.00,0,0.00,4.00,7.90,31.60,6907592007056
1002,9.00,0,0.00,12.00,12.80,153.60,6907592002013
1003,7.00,0,0.00,3.00,8.80,26.40,6907592000026
1004,2.20,0,0.00,5.00,2.80,14.00,6907592001429
1005,7.00,0,0.00,3.00,8.80,26.40,6907592000040
1006,5.90,0,0.00,8.00,7.00,56.00,6907592001245
1007,7.00,0,0.00,1.00,8.80,8.80,6907592000033
1008,21.50,0,0.00,5.00,25.50,127.50,6909995101676
1009,21.50,0,0.00,3.00,25.50,76.50,6909995110326
1010,8.00,0,0.00,22.00,9.90,217.80,6971836970055
1011,8.00,0,0.00,4.00,9.90,39.60,6971836970123
1012,8.00,0,0.00,17.00,9.90,168.30,6971836970086
1013,19.00,0,0.00,1.00,28.00,28.00,8934683007235
1014,11.00,0,0.00,1.00,13.80,13.80,4897076062393
1015,11.00,0,0.00,2.00,13.80,27.60,4897076062850
1016,11.00,0,0.00,2.00,17.80,35.60,8032755323723
1017,13.00,0,0.00,1.00,20.80,20.80,8032755323761
1018,16.50,0,0.00,5.00,21.00,105.00,6904432800440
1019,32.00,0,0.00,14.00,39.00,546.00,6948431109968
1020,11.00,0,0.00,2.00,13.90,27.80,6924115086107
