,amount,categoryName,currCost,productName,salePrice,serialNum,unit
630,11.00,零食,34.00,圣贵兰经典黑咖啡100g,48.00,8002650002177,袋
632,3.00,零食,11.00,芬特乐橙汁1L,16.50,5290074002221,瓶
633,6.00,零食,55.00,克特多片装黑巧克力240g,78.00,7622200002290,盒
640,23.00,零食,9.50,茱蒂丝巧克力蛋卷100g,12.00,9556121003884,袋
642,10.00,零食,9.50,茱蒂丝草莓蛋卷100g,12.00,9556121003976,袋
643,20.00,零食,40.00,泽合原味白咖啡600g,54.00,9556854006008,袋
644,4.00,零食,40.00,泽合香浓白咖啡600g,54.00,9556854006039,袋
645,28.00,零食,22.00,克特多70%可可黑巧克力100g,30.80,7622400006753,盒
646,12.00,零食,10.00,aji-酵母咸盐苏打饼简易装472.5g,13.50,4713507008337,盒
647,5.00,零食,10.00,aji-五谷纤麦苏打饼简易装472.5g,13.50,4713507008344,盒
650,11.00,零食,12.80,可意奇原味苏打饼干250g,19.80,8008620009320,盒
651,8.00,零食,12.80,可意奇全麦苏打饼干250g,19.80,8008620009337,袋
653,9.00,零食,39.50,茱蒂丝什锦饼干650g,52.00,9556121009688,袋
655,113.00,零食,13.50,瑞士三角白巧克力100g,17.50,7614500010310,盒
658,37.00,零食,13.50,瑞士三角黑巧克力100g,17.50,7614500010617,盒
660,24.00,零食,11.00,酵母手撕面包原味338g,14.60,4894375010995,袋
661,27.00,零食,11.00,酵母手撕面包蛋奶味338g,14.60,4894375011008,袋
664,9.00,零食,8.30,果子町-苏打饼干芝麻味360g,10.50,4713507011528,包
665,7.00,零食,8.30,果子町-苏打饼干奶盐味360g,10.50,4713507011535,包
