,importPrice,refundAmount,refundPrice,saleAmount,salePrice,saleTotal,serialNum
428,15.00,0,0.00,2,19.90,39.80,8996001356500
429,15.50,0,0.00,4,19.80,79.20,6976488300267
430,22.00,0,0.00,1,28.20,28.20,6939730799967
431,7.80,0,0.00,3,10.50,31.50,6972933566080
432,8.50,0,0.00,9,11.50,103.50,6972933562761
433,9.20,0,0.00,1,12.50,12.50,6972933565557
434,9.20,0,0.00,1,12.50,12.50,6972933565540
435,7.00,0,0.00,10,9.00,90.00,6972933562051
436,8.00,0,0.00,4,10.80,43.20,6972933562884
437,14.00,0,0.00,3,19.00,57.00,6972933566226
438,8.00,0,0.00,1,10.80,10.80,6972933562891
439,15.00,0,0.00,5,19.50,97.50,6972933561467
448,9.40,0,0.00,4,13.00,52.00,6972933566035
449,14.00,0,0.00,2,19.50,39.00,6972933563706
450,14.50,0,0.00,6,19.00,114.00,4897038896271
451,14.50,0,0.00,2,19.00,38.00,4897038896288
452,14.50,0,0.00,3,19.00,57.00,4897038896264
453,7.00,0,0.00,3,9.50,28.50,4897038895816
454,7.00,0,0.00,5,9.50,47.50,4897038895809
455,6.00,0,0.00,6,7.80,46.80,6972535520893
456,6.00,0,0.00,7,7.80,54.60,6972535520886
457,8.00,0,0.00,4,9.90,39.60,6972698570216
458,10.00,0,0.00,11,12.80,140.80,6937439915251
459,10.00,0,0.00,4,12.80,51.20,6937439914988
460,10.50,0,0.00,1,13.50,13.50,6974176260541
461,14.00,0,0.00,5,18.00,90.00,6974176260367
462,10.50,0,0.00,1,13.50,13.50,6974176260176
463,10.80,0,0.00,3,14.50,43.50,6974176260183
464,9.00,0,0.00,3,12.00,36.00,6971791203618
465,6.50,0,0.00,2,9.00,18.00,6971791203571
466,6.50,0,0.00,1,9.00,9.00,6971791203595
467,6.50,0,0.00,2,9.00,18.00,6971791203588
468,23.00,0,0.00,3,29.00,87.00,6926507202591
469,62.00,0,0.00,3,78.00,234.00,6926507201884
470,23.00,0,0.00,1,29.90,29.90,6926507204182
471,4.50,0,0.00,14,5.40,75.60,6926507202836
472,37.50,0,0.00,1,48.00,48.00,6926507201594
473,18.57,0,0.00,1,23.50,23.50,6926507201143
474,12.00,0,0.00,2,15.60,31.20,6926507202430
475,22.00,0,0.00,1,27.50,27.50,6926507202379
476,47.00,0,0.00,1,58.80,58.80,6926507204991
485,23.00,0,0.00,1,29.90,29.90,6926507204342
486,28.00,0,0.00,4,35.00,140.00,6926507202300
487,22.00,0,0.00,4,28.00,112.00,4897031353603
488,22.00,0,0.00,1,28.00,28.00,4897031353597
489,29.00,0,0.00,1,36.50,36.50,4897031352422
490,19.00,0,0.00,1,24.50,24.50,9588552312266
491,11.31,0,0.00,1,14.50,14.50,9588552337474
492,19.80,0,0.00,7,25.80,180.60,9588552304506
493,15.21,0,0.00,1,19.50,19.50,9588552334954
494,15.21,0,0.00,1,19.50,19.50,9588552334978
495,22.50,0,0.00,1,29.00,29.00,9588552302854
496,14.04,0,0.00,2,18.00,36.00,9588552337528
497,14.04,0,0.00,8,18.00,144.00,9588552335135
498,14.04,0,0.00,3,18.00,54.00,9588552335128
499,31.00,0,0.00,3,39.50,118.50,9588552337498
500,12.00,0,0.00,5,16.00,80.00,9588552322821
501,19.00,0,0.00,3,24.90,74.70,9588552305312
502,12.00,0,0.00,1,15.90,15.90,9588552314338
503,11.31,0,0.00,7,14.50,101.50,9588552337450
504,10.50,0,0.00,1,14.50,14.50,9588552333902
505,16.00,0,0.00,1,20.00,20.00,9588552305725
506,11.00,0,0.00,1,15.00,15.00,9588552334251
507,11.00,0,0.00,1,15.00,15.00,9588552334268
508,11.00,0,0.00,2,15.00,30.00,9588552334244
509,10.00,0,0.00,5,13.50,67.50,9588552322692
510,10.00,0,0.00,8,13.50,108.00,9588552322708
511,19.00,0,0.00,1,24.50,24.50,9588552312259
512,12.00,0,0.00,1,15.90,15.90,9588552314123
513,12.00,0,0.00,6,16.50,99.00,9588552332912
522,12.00,0,0.00,10,15.00,150.00,6952675390211
523,14.00,0,0.00,4,18.00,72.00,6952675340735
